<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20170306;190000;135.0100000;135.0400000;134.3200000;134.6000000
GAZP;60;20170307;110000;135.1300000;135.1300000;134.0700000;134.4500000
GAZP;60;20170307;120000;134.4500000;134.9500000;134.0900000;134.2100000
GAZP;60;20170307;130000;134.2100000;134.2100000;133.0000000;133.4100000
GAZP;60;20170307;140000;133.4100000;133.4500000;132.1700000;132.3500000
GAZP;60;20170307;150000;132.3500000;132.7200000;131.9700000;132.2000000
GAZP;60;20170307;160000;132.2300000;132.4400000;132.0000000;132.2000000
GAZP;60;20170307;170000;132.2000000;132.5500000;131.9000000;132.5500000
GAZP;60;20170307;180000;132.5500000;132.6400000;132.1800000;132.3100000
GAZP;60;20170307;190000;132.2900000;133.1200000;132.2800000;132.8900000
GAZP;60;20170309;110000;132.0500000;133.1500000;131.0200000;133.1400000
GAZP;60;20170309;120000;133.1000000;133.2600000;130.7000000;131.4900000
GAZP;60;20170309;130000;131.4700000;131.9200000;130.5900000;131.0100000
GAZP;60;20170309;140000;131.0300000;131.3700000;130.3300000;130.7500000
GAZP;60;20170309;150000;130.7800000;130.9300000;130.2300000;130.4100000
GAZP;60;20170309;160000;130.4300000;130.8800000;130.0000000;130.0400000
GAZP;60;20170309;170000;130.1200000;130.4000000;129.6100000;129.9100000
GAZP;60;20170309;180000;129.9000000;129.9900000;129.1500000;129.1900000
GAZP;60;20170309;190000;129.2300000;129.6800000;128.8100000;129.0000000
GAZP;60;20170310;110000;129.2500000;130.3900000;127.8000000;129.7200000
GAZP;60;20170310;120000;129.7200000;130.8800000;129.6100000;130.1100000
GAZP;60;20170310;130000;130.0900000;130.5000000;129.5500000;129.9200000
GAZP;60;20170310;140000;129.9200000;130.3100000;129.6100000;130.0700000
GAZP;60;20170310;150000;130.0500000;130.2000000;129.6900000;129.8200000
GAZP;60;20170310;160000;129.7800000;129.9400000;129.1000000;129.7500000
GAZP;60;20170310;170000;129.7500000;130.1700000;129.2700000;129.4800000
GAZP;60;20170310;180000;129.4600000;129.6300000;128.5700000;129.0700000
GAZP;60;20170310;190000;129.0700000;129.1100000;128.4200000;128.7800000
GAZP;60;20170313;110000;128.7000000;129.1500000;127.8200000;128.0700000
GAZP;60;20170313;120000;128.0800000;129.2100000;127.9600000;128.8300000
GAZP;60;20170313;130000;128.8300000;129.0700000;128.3900000;128.9700000
GAZP;60;20170313;140000;128.9800000;129.9500000;128.9800000;129.7700000
GAZP;60;20170313;150000;129.7600000;130.5500000;129.5600000;130.3700000
GAZP;60;20170313;160000;130.3200000;130.4700000;129.7100000;130.1400000
GAZP;60;20170313;170000;130.1400000;130.1800000;129.7400000;129.7800000
GAZP;60;20170313;180000;129.8000000;130.0100000;129.7000000;129.9600000
GAZP;60;20170313;190000;129.9700000;130.0300000;129.7100000;129.9300000
GAZP;60;20170314;110000;130.0200000;130.9000000;129.8600000;130.8300000
GAZP;60;20170314;120000;130.8500000;131.3400000;130.6500000;131.1500000
GAZP;60;20170314;130000;131.1800000;131.2400000;130.6200000;130.7900000
GAZP;60;20170314;140000;130.7800000;130.8700000;130.2200000;130.4000000
GAZP;60;20170314;150000;130.4500000;130.7600000;129.7200000;129.8700000
GAZP;60;20170314;160000;129.8700000;129.9400000;128.3200000;128.4000000
GAZP;60;20170314;170000;128.3600000;128.9300000;128.3400000;128.8700000
GAZP;60;20170314;180000;128.8800000;128.9600000;128.5000000;128.7700000
GAZP;60;20170314;190000;128.7900000;129.1500000;128.4700000;128.8000000
GAZP;60;20170315;110000;129.2300000;129.6900000;129.0000000;129.4800000
GAZP;60;20170315;120000;129.4500000;129.6400000;128.4100000;128.4800000
GAZP;60;20170315;130000;128.4800000;128.8400000;128.0700000;128.1400000
GAZP;60;20170315;140000;128.1700000;128.2300000;127.8500000;128.2100000
GAZP;60;20170315;150000;128.2300000;128.2600000;127.5000000;127.5100000
GAZP;60;20170315;160000;127.5000000;127.8200000;127.4100000;127.5800000
GAZP;60;20170315;170000;127.6000000;127.7300000;127.2000000;127.5800000
GAZP;60;20170315;180000;127.6200000;127.7900000;127.5100000;127.6600000
